Organization,Technologies,Topics,Selected_Students
NumFOCUS,"python, c++, r, julia","data science, graphics, scientific computing, numerical computation",61
Apache Software Foundation,"c, java, c++","big data, cloud, libraries, other",58
INCF,"python, javascript, java, c++, gpu","machine learning, data visualization, neuroscience, brain modelling, neuroimage processing",57
Python Software Foundation,"python, javascript, c++, SBOM","security, visualization, compiler, modeling, Backup",50
Machine Learning for Science (ML4SCI),"python, machine learning, c++, data analysis, artificial intelligence","machine learning, science and medicine, algorithms, physics, astronomy",43
CERN-HSF,"python, c/c++, data analysis, artificial intelligence, container orchestration","machine learning, big data, algorithmics, particle physics, Performance Optimisation",37
LLVM Compiler Infrastructure,"llvm, c++, clang, mlir","compilers, development tools, libraries",33
SCoRe Lab,"python, java, go, nodejs, reactjs","security, web, machine learning, cloud",33
The Julia Language,"machine learning, julia, data science, gui, models","math, machine learning, science, data science, graphs",33
Chromium,"python, javascript, java, c++, git","web, browser, operating-system",31
CNCF,"prometheus, kubernetes, OpenTelemetry, envoy","cloud, cloud native, observability",30
Zulip,"python, django, css, typescript, electron","great developer tooling, visual design, teaching quality codebase, team chat, integrations",28
OWASP Foundation,"python, javascript, java, ZAP, Juice Shop","web, cloud, application security, cybersecurity, DevSecOps",26
The Linux Foundation,"c, linux, c++, cups, ipp","kernel, automotive, printing, iio, zephyr",24
UC OSPO,"python, c/c++, visualization, VLSI, ros/gazebo","hardware, data science, reproducibility, storage systems, data management",23
R project for statistical computing,"c, javascript, c++, r-project, fortran","visualization, machine learning, data science, graphics, statistics",22
rocket.chat,"javascript, raspberry pi, typescript, node, meteorJS","communications, messaging, group chat, Team Collaboration, Chat platform",22
TensorFlow,"machine learning, tensorflow, ai, Jax, keras","education, research, machine learning",22
Liquid Galaxy project,"python, linux, android, flutter, Google Earth","visualization, networking, maps, cluster, ux",20
OpenCV,"python, c++, deep learning, ai","robotics, computer vision, ai, deep learning",20
Oppia Foundation,"python, google app engine, angular, typescript","education, web, community, nonprofit, social impact",19
PostgreSQL,"c, python, postgresql, javascript, sql","web, database, ui, sql, Benchmark",19
The Mifos Initiative,"android, java, kotlin, spring, angular","cloud, ai, fintech, financial inclusion, mobile banking",19
GNOME Foundation,"c, linux, rust, gtk, Flatpak","operating systems, desktop, graphics, open source, apps",18
International Catrobat Association,"javascript, swift, kotlin, php, flutter","education, visual programming, mobile programming, game engines, creativity tools",18
CCExtractor Development,"c, linux, rust, flutter","vr, linux, video, subtitles, mobile",17
Open Chemistry,"python, javascript, opengl, c++, c++14","data science, graphics, scientific visualization, cheminformatics, quantum chemistry",17
Red Hen Lab,"python, machine learning, computer vision, nlp, data science","data science, media, language, multimodal communication, gesture",17
Sugar Labs,"python, gtk, typescript, javascipt","education, games, desktop",17
CGAL Project,"c++, qt","geometry, mesh processing, computation geometry, geometry processing",16
National Resource for Network Biology (NRNB),"python, javascript, java, xml, r","web application, data science, graphics, scientific computing, network biology",16
Open Technologies Alliance - GFOSS,"javascript, c/c++, nodejs, python 3, Machine Learning (ML)","web, robotics, open hardware, c++, nodered",16
Processing Foundation,"python, javascript, android, java, opengl","education, web, graphics, creative coding, design",16
The Palisadoes Foundation,"mongodb, flutter, graphql, typescript","web, api, database, cloud, mobile",16
VideoLAN,"c, c++, qt, assembly, video","audio, streaming, video, codecs, media database",16
Wikimedia Foundation,"python, javascript, html, php, css","semantic web, wikipedia, wikimedia, mediawiki, i18n",16
Global Alliance for Genomics and Health,"python, postgresql, java, react, rust","web, genomics, bioinformatics, genetics, standards",15
AOSSIE,"python, javascript, machine learning, scala, Blockchain","machine learning, electronic voting, natural language processing, social science",14
freifunk,"c, python, javascript, openwrt, gnu/linux","embedded systems, open hardware, routing, wireless networks, federation",14
MetaBrainz Foundation Inc,"python, react, perl, postgres, spark","open data, music, books, Music recommendation, music social network",14
OpenAstronomy,"c, python, julia","image processing, astronomy, solar physics, high energy astrophysics",14
OpenMRS,"mysql, javascript, java, reactjs, fhir","platform, frontend, Electronic Medical Record System, QA automation",14
"Department of Biomedical Informatics, Emory University","python, javascript, java, workflows, dicom","science and medicine, data integration, workflows, radiology, distributed system",13
Free and Open Source Silicon Foundation,"verilog, risc-v, compiler, web development","hardware, debug, web services, simulation, electronic design tools",13
KDE Community,"c++, qt, qml, data structures","education, science, applications, desktop environment",13
OSGeo (Open Source Geospatial Foundation),"c, python, javascript, java, c++","open science, gis, citizen science, geolocation, mapping",13
The FreeBSD Project,"c, llvm, assembly, make, POSIX shell","virtualization, operating system, Embedded System",13
BRL-CAD,"python, c/c++, opengl, opencl, scripting","geometry, 2d/3d graphics, ray tracing, high-performance computing, conversion standards",12
