Organization,Technologies,Topics,Selected_Students
NumFOCUS,"python, javascript, c/c++, r, julia","data science, graphics, scientific computing, numerical computation",45
Python Software Foundation,python,"programming languages, science and medicine",34
The Apache Software Foundation,"c, java, c++, rust","big data, cloud, libraries",28
CERN-HSF,"python, c/c++, data analysis, concurrency, container orchestration","machine learning, performance optimization, algorithmics, particle physics, big data science",25
SCoRe Lab,"python, android, nodejs, golang","machine learning, web development, cloud, information security, mobile",23
INCF,"python, javascript, c/c++, java, tensorflow","data visualization, big data, neuroscience, brain modelling, neuroimaging",21
The R Project for Statistical Computing,"javascript, c/c++, r-project, fortran","visualization, machine learning, data science, graphics, statistics",21
The Julia Language,"julia, julialang","machine learning, data science, scientific computing, numerical computing, technical computing",20
Machine Learning for Science (ML4SCI) Umbrella Organization,"python, c/c++, machine learning, data analysis, artificial intelligence","machine learning, science and medicine, algorithms, physics, astronomy",19
Oppia Foundation,"python, kotlin, css, angular, typescript","education, web, community, interactive, nonprofit",18
The Linux Foundation,"c, linux, c++, cups, ipp","kernel, automotive, printing, lsb, iio",18
Zulip,"python, django, typescript, react native, electron","mobile, great developer tooling, chat, visual design, teaching quality codebase",18
TensorFlow,"javascript, c/c++, python deep learning frameworks","machine learning, computer vision, natural language processing, deep learning, cloud computing",17
CNCF,"go, rust, kubernetes",cloud computing,16
The LLVM Compiler Infrastructure,"c/c++, llvm, clang, mlir","compilers, code analysis, debuggers",16
KDE Community,"opengl, c++, qt, qml, data structures","education, science, art",15
OWASP Foundation,"python, javascript, c/c++, golang","application security, cybersecurity, top 10, pentesting",14
International Catrobat Association,"javascript, android, swift, kotlin, php","education, visual programming, mobile programming, game engines, creativity tools",13
National Resource for Network Biology (NRNB),"python, javascript, java, xml, r","web application, data science, graphics, scientific computing, network biology",13
Digital Impact Alliance (DIAL) at UN Foundation,"python, linux, javascript, android, many more","humanitarian, nonprofit, humanrights, international, global",12
GNOME Foundation,"c, python, javascript, rust, gtk","desktop, operating system, design, end user application, application",12
OSGeo - Open Source Geospatial Foundation,"python, javascript, c/c++, java, sql","databases, open science, routing, gis, citizen science",12
Red Hen Lab,"python, big data science, computer vision, nlp, machinelearning","metadata, media, language, multimodal communication, gesture",12
Rocket.Chat,"react, nodejs, docker, kubernetes, react native","collaboration, community, instant messaging, communication, team",12
