Organization,Technologies,Topics,Selected_Students
Python Software Foundation,python,"programming languages, science",30
R project for statistical computing,"c, javascript, c++, r-project, fortran","visualization, machine learning, data science, graphics, statistics",30
CERN-HSF,"python, c/c++, machine learning, data analysis, parallelization","machine learning, big data, physics, particle physics, high-energy physics",29
SCoRe Lab (Sustainable Computing Research Lab),"python, android, nodejs, golang","machine learning, web development, cloud, information security, mobile",27
KDE Community,"c++, qt, qt5","privacy, education, science, desktop application, deskstop",22
NumFOCUS,"python, javascript, c/c++, r","data science, graphics, scientific computing, numerical computation, pydata",19
TensorFlow,"python, c/c++, machine learning, data analysis, deep learning","machine learning, data science, deep learning, python, data",19
AOSSIE - Australian Open Source Software Innovation and Education,"javascript, android, scala, ios, isabelle proof assistant","machine learning, environment, electronic voting, natural language processing, philosophy",18
INCF,"python, javascript, c++, xml, jupyter","science, big data, neuroscience, brain modelling, bio/neuro image processing",17
The Apache Software Foundation,"c/c++, java","big data, cloud, libraries",17
Zulip Open Source Project,"python, javascript, django, react native, electron","mobile, great developer tooling, chat, visual design, bots",17
The Processing Foundation,"python, javascript, android, java, opengl","education, web, graphics, creative coding, design",16
Cloud Native Computing Foundation (CNCF),"prometheus, golang, docker, kubernetes","cloud, containers",15
Haskell.Org,"haskell, ghc, cabal, codeworld, servant","education, compilers, haskell, functional programming, build tools",15
Red Hen Lab,"python, machine learning, opencv, nlp, asr","big data, ai, multimedia, communication, cognitive science",15
Rocket.Chat,"javascript, android, react, node.js, ios","collaboration, instant messaging, realtime communications, chat, chatbot",15
FOSSASIA,"c, python, javascript, java, reactjs","artificial intelligence, open science, search, event management, voice assistants",14
Mozilla,"python, javascript, react, c++, rust","privacy/security, internet freedom, web technologies",14
The Mifos Initiative,"mysql, android, java, spring, angular","web, cloud, ai, fintech, mobile banking",14
Open Technologies Aliance - GFOSS,"python, javascript, gtk, qt, arduino","programming languages, robotics, java, open education, c- c+",13
The Julia Language,julia,"machine learning, data science, scientific computing, numerical computing, technical computing",13
OpenMRS,"mysql, javascript, android, java, spring","science and medicine, open source, medical record, developing countries",12
OWASP Foundation,"python, javascript, java, php","security, secure development, appsec, application security, sdlc",12
Public Lab,"javascript, ruby on rails, node.js, raspberry pi","science, environment, collaboration, community, hardware",12
Boost C++,c++ libraries c++11 c++14 c++17 c++20,c++ libraries c++ standard,11
National Resource for Network Biology (NRNB),"python, javascript, java, web, c++","web application, data science, graphics, scientific computing, network biology",11
Wikimedia Foundation,"python, javascript, html, php, css","semantic web, wikipedia, wikimedia, mediawiki, i18n",11
Apertium,"python, c++, xml, bash","natural language processing, machine translation, less-resourced languages",10
CCExtractor Development,"c, python, javascript, cloud, ai","ai, vision, subtitles, accessibility, tv",10
coala,"java, haskell, python 3, docker, angularjs","devops, code analysis, chatops",10
freifunk,"c, python, ruby, openwrt, html/css/js","web apps, embedded systems, software defined networking, network, wireless communications",10
RoboComp,"python, opencv, qt, c++11, component-based development","robotics, computer vision, multi-agent system, component-based development",10
SymPy,python,"math, computer algebra",10
The Eclipse Foundation,"javascript, java, jakarta, openj9","iot, cloud, ide",10
Catrobat,"android, java, swift, symfony","web, app development, visual programming, gaming",9
CGAL project,"python, c++, git, swig","computational geometry, mesh processing, arrangement, geometry processing, point set processing",9
mlpack,c++,"machine learning, data mining, data science, fast algorithms",9
Open Astronomy,"python, c++, julia, numba","astronomy, visualisation, solar physics, high energy astrophysics, orbital mechanics",9
The Honeynet Project,"python, linux, c/c++, go, data analysis","research, honeypots, deception, malware, honeynets",9
The Terasology Foundation,"java, opengl, blender, gradle, lwjgl","game, minecraft, sandbox, modding, ai",9
VideoLAN,"c, opengl, c++, qt, assembly","web, graphics, video, multimedia, codecs",9
BRL-CAD,"python, javascript, c/c++, opengl, opencl","performance, 2d/3d graphics, ray tracing, solid geometry, cad/cam/cae",8
GNOME,"c, python, javascript, rust, gtk+","desktop, operating system, design, end user application, application",8
Godot Engine,"opengl, github, c++, cpp, gdscript","graphics, real time, cross-platform, game engine, game development",8
JBoss Community,"java, react, golang","database, cloud, kubernetes, codeuino",8
LLVM Compiler Infrastructure,"llvm, clang","code analysis, programming languages and development tools, compiler",8
OpenCV,"python, c++","machine learning, robotics, vision, deep learning",8
SPDX (Software Product Data Exchange),"python, java, golang, xml","compliance, open source, licensing",8
Sugar Labs,"python, javascript",education,8
AerospaceResearch.net,"python, c/c++, java, vhdl, boinc","distributed computing, space applications, software defined radio, cubesats, simulations",7
Amahi,"android, ruby on rails, golang, ios, containers","web apps, media server, storage server, streaming, backups",7
Blender Foundation,"c, python, opengl, c++","3d, rendering, animation, vfx, modeling",7
Free and Open Source Silicon Foundation,"verilog, risc-v, compiler, web development, jenkins","hardware, debug, web services, simulation, electronic design tools",7
Liquid Galaxy project,"python, android, nodejs, maps api","visualization, data, cluster, geo",7
